model,variant,linear,knn
dinov2,orig,0.8441491197790818,0.8063513979979289
dinov2,fg,0.7336900241629272,0.7744218156713842
dinov2,bg_mask,0.10148429409734208,0.12236796686227132
dinov2,bg_box,0.05160510873317225,0.07231618916120124
dinov2,fg2fg,0.8369002416292717,0.799275112185019
dinov2_reg4,orig,0.8427683810838799,0.7939247497411115
dinov2_reg4,fg,0.7297204004142216,0.7647566448049706
dinov2_reg4,bg_mask,0.1102865032792544,0.14376941663790127
dinov2_reg4,bg_box,0.05298584742837418,0.0866413531239213
dinov2_reg4,fg2fg,0.8308595098377632,0.8016914049016224
dinov3,orig,0.8387987573351743,0.800655850880221
dinov3,fg,0.7559544356230583,0.7707973765964791
dinov3,bg_mask,0.087849499482223,0.11011391094235416
dinov3,bg_box,0.044183638246461855,0.06903693476009665
dinov3,fg2fg,0.8301691404901622,0.8027269589230238
