model,variant,linear,knn
dinov2,orig,0.6099413186054539,0.2597514670348636
dinov2,fg,0.31256472212633757,0.07110804280289955
dinov2,bg_mask,0.09440800828443217,0.11580945806006214
dinov2,bg_box,0.03727994477045219,0.07197100448740076
dinov2,fg2fg,0.7354159475319296,0.5386606834656541
dinov2_reg4,orig,0.6477390403866068,0.3608905764584052
dinov2_reg4,fg,0.33931653434587505,0.22747670003451848
dinov2_reg4,bg_mask,0.10217466344494304,0.12305833620987228
dinov2_reg4,bg_box,0.04504659993096306,0.08681394546082154
dinov2_reg4,fg2fg,0.7559544356230583,0.5479806696582672
dinov3,orig,0.6434242319641008,0.32896099413186053
dinov3,fg,0.427856403175699,0.1268553676216776
dinov3,bg_mask,0.07386952019330342,0.10148429409734208
dinov3,bg_box,0.03089402830514325,0.06368657231618916
dinov3,fg2fg,0.7414566793234381,0.572833966171902
