model,path,evidence_in,mask_area,concentration,correct
dinov2,001.Black_footed_Albatross/Black_Footed_Albatross_0002_55.jpg,0.24272457459605207,0.18359375,1.3220742066399864,1
dinov2,001.Black_footed_Albatross/Black_Footed_Albatross_0024_796089.jpg,0.2750869241164176,0.13671875,2.0120642120833865,0
dinov2,001.Black_footed_Albatross/Black_Footed_Albatross_0005_796090.jpg,0.20283429250168342,0.16015625,1.266477454591431,1
dinov2,001.Black_footed_Albatross/Black_Footed_Albatross_0058_796074.jpg,0.12765337268301397,0.08984375,1.4208373812829513,1
dinov2,002.Laysan_Albatross/Laysan_Albatross_0102_611.jpg,0.1831262106636821,0.11328125,1.6165622686725245,1
dinov2,002.Laysan_Albatross/Laysan_Albatross_0098_621.jpg,0.1386163282893682,0.171875,0.8064949540329813,0
dinov2,002.Laysan_Albatross/Laysan_Albatross_0064_674.jpg,0.29469258830981515,0.1796875,1.6400282262791397,1
dinov2,003.Sooty_Albatross/Sooty_Albatross_0048_1130.jpg,0.10763302885174167,0.07421875,1.450213245973682,1
dinov2,003.Sooty_Albatross/Sooty_Albatross_0050_796351.jpg,0.2163137624868945,0.14453125,1.4966572801406042,0
dinov2,004.Groove_billed_Ani/Groove_Billed_Ani_0029_1620.jpg,0.107409310604952,0.08203125,1.309370483946632,1
dinov2,005.Crested_Auklet/Crested_Auklet_0036_794905.jpg,0.43327422399276305,0.3515625,1.2324244243015647,1
dinov2,006.Least_Auklet/Least_Auklet_0039_795081.jpg,0.3225942814908631,0.234375,1.3764022089678551,0
dinov2,006.Least_Auklet/Least_Auklet_0005_795119.jpg,0.12477590916789642,0.140625,0.887295290986265,1
dinov2,007.Parakeet_Auklet/Parakeet_Auklet_0017_795924.jpg,0.2400348476532254,0.22265625,1.0780511971827131,1
dinov2,007.Parakeet_Auklet/Parakeet_Auklet_0072_795929.jpg,0.12041008563452368,0.09765625,1.2329991506384095,1
dinov2,007.Parakeet_Auklet/Parakeet_Auklet_0067_795964.jpg,0.09036279686657549,0.08203125,1.1015653894207584,1
dinov2,008.Rhinoceros_Auklet/Rhinoceros_Auklet_0044_797502.jpg,0.409634333886802,0.2578125,1.58888462738601,0
dinov2,009.Brewer_Blackbird/Brewer_Blackbird_0028_2682.jpg,0.40624140621860977,0.171875,2.3635862259359857,0
