/opt/anaconda3/envs/fal-wyh/lib/python3.9/site-packages/torchvision/transforms/transforms.py:329: UserWarning: Argument 'interpolation' of type int is deprecated since 0.13 and will be removed in 0.15. Please use InterpolationMode enum.
  warnings.warn(
09/16/2026 23:56:24 - INFO - models.modeling - load_pretrained: resized variant: torch.Size([1, 197, 768]) to torch.Size([1, 3137, 768])
09/16/2026 23:56:27 - INFO - timm.models._builder - Loading pretrained weights from Hugging Face hub (timm/vit_base_patch16_dinov3.lvd1689m)
09/16/2026 23:56:28 - INFO - httpx - HTTP Request: HEAD https://hf-mirror.com/timm/vit_base_patch16_dinov3.lvd1689m/resolve/main/model.safetensors "HTTP/1.1 302 Found"
09/16/2026 23:56:28 - INFO - timm.models._hub - [timm/vit_base_patch16_dinov3.lvd1689m] Safe alternative available for 'pytorch_model.bin' (as 'model.safetensors'). Loading weights using safetensors.
09/16/2026 23:56:29 - INFO - __main__ - Training parameters Namespace(data_root='/home/savo_shen/data_crops/cub/raw', name='cub_tok25_896', output_dir='output', pretrained='/home/savo_shen/Programs/FAL-ViT-main-wyh/imagenet21k_ViT-B_16.npz', img_size=896, select='dinov3', keep=0.25, sel_img=448, train_batch_size=8, grad_accum=2, eval_batch_size=32, learning_rate=0.03, weight_decay=0.0, num_steps=10000, warmup_steps=500, eval_every=1000, max_grad_norm=1.0, num_workers=8, seed=42)
09/16/2026 23:56:29 - INFO - __main__ - classes=200 train=5994 test=5794  tokens kept 784 / 3136
load_pretrained: grid-size from 14 to 56
09/16/2026 23:57:26 - INFO - __main__ - Training (100 / 10000 Steps) (loss=5.2109) lr=6.00e-03 57s
09/16/2026 23:58:20 - INFO - __main__ - Training (200 / 10000 Steps) (loss=4.7461) lr=1.20e-02 111s
09/16/2026 23:59:14 - INFO - __main__ - Training (300 / 10000 Steps) (loss=3.6343) lr=1.80e-02 165s
09/17/2026 00:00:09 - INFO - __main__ - Training (400 / 10000 Steps) (loss=2.0368) lr=2.40e-02 220s
09/17/2026 00:01:03 - INFO - __main__ - Training (500 / 10000 Steps) (loss=1.1573) lr=3.00e-02 274s
09/17/2026 00:01:57 - INFO - __main__ - Training (600 / 10000 Steps) (loss=1.1118) lr=3.00e-02 328s
09/17/2026 00:02:52 - INFO - __main__ - Training (700 / 10000 Steps) (loss=0.5326) lr=3.00e-02 382s
09/17/2026 00:03:47 - INFO - __main__ - Training (800 / 10000 Steps) (loss=0.7063) lr=2.99e-02 438s
09/17/2026 00:04:41 - INFO - __main__ - Training (900 / 10000 Steps) (loss=1.7752) lr=2.99e-02 492s
09/17/2026 00:05:35 - INFO - __main__ - Training (1000 / 10000 Steps) (loss=0.3206) lr=2.98e-02 546s
09/17/2026 00:07:41 - INFO - __main__ - Validation Results step 1000: Accuracy 0.83224 (best 0.83224)
09/17/2026 00:08:35 - INFO - __main__ - Training (1100 / 10000 Steps) (loss=0.4477) lr=2.97e-02 726s
09/17/2026 00:09:31 - INFO - __main__ - Training (1200 / 10000 Steps) (loss=0.3704) lr=2.96e-02 781s
09/17/2026 00:10:25 - INFO - __main__ - Training (1300 / 10000 Steps) (loss=0.0450) lr=2.95e-02 836s
09/17/2026 00:11:19 - INFO - __main__ - Training (1400 / 10000 Steps) (loss=0.2583) lr=2.93e-02 890s
09/17/2026 00:12:15 - INFO - __main__ - Training (1500 / 10000 Steps) (loss=0.0485) lr=2.92e-02 946s
09/17/2026 00:13:09 - INFO - __main__ - Training (1600 / 10000 Steps) (loss=0.2579) lr=2.90e-02 1000s
09/17/2026 00:14:03 - INFO - __main__ - Training (1700 / 10000 Steps) (loss=0.2517) lr=2.88e-02 1054s
09/17/2026 00:14:58 - INFO - __main__ - Training (1800 / 10000 Steps) (loss=1.1011) lr=2.86e-02 1108s
09/17/2026 00:15:53 - INFO - __main__ - Training (1900 / 10000 Steps) (loss=0.1503) lr=2.84e-02 1164s
09/17/2026 00:16:47 - INFO - __main__ - Training (2000 / 10000 Steps) (loss=0.0193) lr=2.82e-02 1218s
09/17/2026 00:18:47 - INFO - __main__ - Validation Results step 2000: Accuracy 0.87142 (best 0.87142)
09/17/2026 00:19:42 - INFO - __main__ - Training (2100 / 10000 Steps) (loss=0.5747) lr=2.79e-02 1392s
09/17/2026 00:20:36 - INFO - __main__ - Training (2200 / 10000 Steps) (loss=0.8693) lr=2.77e-02 1447s
09/17/2026 00:21:32 - INFO - __main__ - Training (2300 / 10000 Steps) (loss=0.2740) lr=2.74e-02 1502s
09/17/2026 00:22:26 - INFO - __main__ - Training (2400 / 10000 Steps) (loss=0.1257) lr=2.71e-02 1557s
09/17/2026 00:23:20 - INFO - __main__ - Training (2500 / 10000 Steps) (loss=0.0205) lr=2.68e-02 1611s
09/17/2026 00:24:14 - INFO - __main__ - Training (2600 / 10000 Steps) (loss=0.1343) lr=2.65e-02 1665s
09/17/2026 00:25:10 - INFO - __main__ - Training (2700 / 10000 Steps) (loss=0.0347) lr=2.62e-02 1721s
09/17/2026 00:26:04 - INFO - __main__ - Training (2800 / 10000 Steps) (loss=0.0964) lr=2.59e-02 1775s
09/17/2026 00:26:58 - INFO - __main__ - Training (2900 / 10000 Steps) (loss=0.0222) lr=2.55e-02 1829s
09/17/2026 00:27:54 - INFO - __main__ - Training (3000 / 10000 Steps) (loss=0.0221) lr=2.52e-02 1885s
09/17/2026 00:29:54 - INFO - __main__ - Validation Results step 3000: Accuracy 0.88264 (best 0.88264)
09/17/2026 00:30:48 - INFO - __main__ - Training (3100 / 10000 Steps) (loss=0.0945) lr=2.48e-02 2059s
09/17/2026 00:31:42 - INFO - __main__ - Training (3200 / 10000 Steps) (loss=0.1272) lr=2.44e-02 2113s
09/17/2026 00:32:37 - INFO - __main__ - Training (3300 / 10000 Steps) (loss=0.0159) lr=2.40e-02 2167s
09/17/2026 00:33:32 - INFO - __main__ - Training (3400 / 10000 Steps) (loss=0.0066) lr=2.36e-02 2223s
09/17/2026 00:34:27 - INFO - __main__ - Training (3500 / 10000 Steps) (loss=0.0480) lr=2.32e-02 2277s
09/17/2026 00:35:21 - INFO - __main__ - Training (3600 / 10000 Steps) (loss=0.5734) lr=2.28e-02 2331s
09/17/2026 00:36:15 - INFO - __main__ - Training (3700 / 10000 Steps) (loss=0.0555) lr=2.24e-02 2386s
09/17/2026 00:37:11 - INFO - __main__ - Training (3800 / 10000 Steps) (loss=0.0350) lr=2.19e-02 2441s
