/opt/anaconda3/envs/fal-wyh/lib/python3.9/site-packages/torchvision/transforms/transforms.py:329: UserWarning: Argument 'interpolation' of type int is deprecated since 0.13 and will be removed in 0.15. Please use InterpolationMode enum.
  warnings.warn(
09/17/2026 03:32:21 - INFO - models.modeling - load_pretrained: resized variant: torch.Size([1, 197, 768]) to torch.Size([1, 785, 768])
09/17/2026 03:32:22 - INFO - __main__ - Training parameters Namespace(data_root='/home/savo_shen/data_crops/nabirds/raw', name='nabirds_rand25', output_dir='output', pretrained='/home/savo_shen/Programs/FAL-ViT-main-wyh/imagenet21k_ViT-B_16.npz', img_size=448, select='random', keep=0.25, sel_img=448, train_batch_size=16, grad_accum=1, eval_batch_size=64, learning_rate=0.03, weight_decay=0.0, num_steps=10000, warmup_steps=500, eval_every=1000, max_grad_norm=1.0, num_workers=8, seed=42)
09/17/2026 03:32:22 - INFO - __main__ - classes=555 train=23929 test=24633  tokens kept 196 / 784
load_pretrained: grid-size from 14 to 28
09/17/2026 03:32:32 - INFO - __main__ - Training (100 / 10000 Steps) (loss=6.2854) lr=6.00e-03 10s
09/17/2026 03:32:39 - INFO - __main__ - Training (200 / 10000 Steps) (loss=6.1230) lr=1.20e-02 17s
09/17/2026 03:32:46 - INFO - __main__ - Training (300 / 10000 Steps) (loss=5.7625) lr=1.80e-02 24s
09/17/2026 03:32:53 - INFO - __main__ - Training (400 / 10000 Steps) (loss=5.4250) lr=2.40e-02 31s
09/17/2026 03:33:00 - INFO - __main__ - Training (500 / 10000 Steps) (loss=4.3834) lr=3.00e-02 38s
09/17/2026 03:33:07 - INFO - __main__ - Training (600 / 10000 Steps) (loss=4.1919) lr=3.00e-02 45s
09/17/2026 03:33:14 - INFO - __main__ - Training (700 / 10000 Steps) (loss=3.3515) lr=3.00e-02 52s
09/17/2026 03:33:21 - INFO - __main__ - Training (800 / 10000 Steps) (loss=2.8478) lr=2.99e-02 59s
09/17/2026 03:33:28 - INFO - __main__ - Training (900 / 10000 Steps) (loss=2.9766) lr=2.99e-02 66s
09/17/2026 03:33:35 - INFO - __main__ - Training (1000 / 10000 Steps) (loss=1.8906) lr=2.98e-02 73s
09/17/2026 03:34:42 - INFO - __main__ - Validation Results step 1000: Accuracy 0.45946 (best 0.45946)
09/17/2026 03:34:49 - INFO - __main__ - Training (1100 / 10000 Steps) (loss=2.5636) lr=2.97e-02 146s
09/17/2026 03:34:56 - INFO - __main__ - Training (1200 / 10000 Steps) (loss=2.3425) lr=2.96e-02 153s
09/17/2026 03:35:03 - INFO - __main__ - Training (1300 / 10000 Steps) (loss=2.5494) lr=2.95e-02 160s
09/17/2026 03:35:10 - INFO - __main__ - Training (1400 / 10000 Steps) (loss=2.5759) lr=2.93e-02 167s
09/17/2026 03:35:17 - INFO - __main__ - Training (1500 / 10000 Steps) (loss=1.8040) lr=2.92e-02 175s
09/17/2026 03:35:24 - INFO - __main__ - Training (1600 / 10000 Steps) (loss=2.1102) lr=2.90e-02 182s
09/17/2026 03:35:31 - INFO - __main__ - Training (1700 / 10000 Steps) (loss=1.8707) lr=2.88e-02 189s
09/17/2026 03:35:39 - INFO - __main__ - Training (1800 / 10000 Steps) (loss=2.0328) lr=2.86e-02 196s
09/17/2026 03:35:46 - INFO - __main__ - Training (1900 / 10000 Steps) (loss=2.2692) lr=2.84e-02 203s
09/17/2026 03:35:53 - INFO - __main__ - Training (2000 / 10000 Steps) (loss=1.1801) lr=2.82e-02 210s
