/opt/anaconda3/envs/fal-wyh/lib/python3.9/site-packages/torchvision/transforms/transforms.py:329: UserWarning: Argument 'interpolation' of type int is deprecated since 0.13 and will be removed in 0.15. Please use InterpolationMode enum.
  warnings.warn(
09/17/2026 06:49:30 - INFO - models.modeling - load_pretrained: resized variant: torch.Size([1, 197, 768]) to torch.Size([1, 785, 768])
09/17/2026 06:49:33 - INFO - timm.models._builder - Loading pretrained weights from Hugging Face hub (timm/vit_base_patch16_dinov3.lvd1689m)
09/17/2026 06:49:33 - INFO - httpx - HTTP Request: HEAD https://hf-mirror.com/timm/vit_base_patch16_dinov3.lvd1689m/resolve/main/model.safetensors "HTTP/1.1 302 Found"
09/17/2026 06:49:33 - INFO - timm.models._hub - [timm/vit_base_patch16_dinov3.lvd1689m] Safe alternative available for 'pytorch_model.bin' (as 'model.safetensors'). Loading weights using safetensors.
09/17/2026 06:49:35 - INFO - __main__ - Training parameters Namespace(data_root='/home/savo_shen/data_crops/nabirds/raw', name='nabirds_tok10', output_dir='output', pretrained='/home/savo_shen/Programs/FAL-ViT-main-wyh/imagenet21k_ViT-B_16.npz', img_size=448, select='dinov3', keep=0.1, sel_img=448, train_batch_size=16, grad_accum=1, eval_batch_size=64, learning_rate=0.03, weight_decay=0.0, num_steps=10000, warmup_steps=500, eval_every=1000, max_grad_norm=1.0, num_workers=8, seed=42)
09/17/2026 06:49:35 - INFO - __main__ - classes=555 train=23929 test=24633  tokens kept 78 / 784
load_pretrained: grid-size from 14 to 28
09/17/2026 06:50:03 - INFO - __main__ - Training (100 / 10000 Steps) (loss=6.2759) lr=6.00e-03 28s
09/17/2026 06:50:27 - INFO - __main__ - Training (200 / 10000 Steps) (loss=6.1694) lr=1.20e-02 52s
09/17/2026 06:50:52 - INFO - __main__ - Training (300 / 10000 Steps) (loss=5.8757) lr=1.80e-02 77s
09/17/2026 06:51:17 - INFO - __main__ - Training (400 / 10000 Steps) (loss=5.1509) lr=2.40e-02 102s
09/17/2026 06:51:41 - INFO - __main__ - Training (500 / 10000 Steps) (loss=4.1788) lr=3.00e-02 127s
09/17/2026 06:52:06 - INFO - __main__ - Training (600 / 10000 Steps) (loss=3.8008) lr=3.00e-02 152s
09/17/2026 06:52:31 - INFO - __main__ - Training (700 / 10000 Steps) (loss=3.3624) lr=3.00e-02 176s
09/17/2026 06:52:56 - INFO - __main__ - Training (800 / 10000 Steps) (loss=2.0790) lr=2.99e-02 201s
09/17/2026 06:53:21 - INFO - __main__ - Training (900 / 10000 Steps) (loss=2.6176) lr=2.99e-02 226s
09/17/2026 06:53:46 - INFO - __main__ - Training (1000 / 10000 Steps) (loss=1.9695) lr=2.98e-02 251s
09/17/2026 06:59:21 - INFO - __main__ - Validation Results step 1000: Accuracy 0.56579 (best 0.56579)
09/17/2026 06:59:46 - INFO - __main__ - Training (1100 / 10000 Steps) (loss=1.6207) lr=2.97e-02 611s
09/17/2026 07:00:11 - INFO - __main__ - Training (1200 / 10000 Steps) (loss=1.7658) lr=2.96e-02 636s
09/17/2026 07:00:36 - INFO - __main__ - Training (1300 / 10000 Steps) (loss=1.5843) lr=2.95e-02 661s
09/17/2026 07:01:01 - INFO - __main__ - Training (1400 / 10000 Steps) (loss=1.0506) lr=2.93e-02 686s
09/17/2026 07:01:26 - INFO - __main__ - Training (1500 / 10000 Steps) (loss=0.9665) lr=2.92e-02 711s
09/17/2026 07:01:51 - INFO - __main__ - Training (1600 / 10000 Steps) (loss=0.6695) lr=2.90e-02 736s
09/17/2026 07:02:16 - INFO - __main__ - Training (1700 / 10000 Steps) (loss=1.0616) lr=2.88e-02 761s
09/17/2026 07:02:40 - INFO - __main__ - Training (1800 / 10000 Steps) (loss=1.4423) lr=2.86e-02 786s
09/17/2026 07:03:05 - INFO - __main__ - Training (1900 / 10000 Steps) (loss=0.9498) lr=2.84e-02 811s
09/17/2026 07:03:30 - INFO - __main__ - Training (2000 / 10000 Steps) (loss=0.9947) lr=2.82e-02 835s
09/17/2026 07:09:04 - INFO - __main__ - Validation Results step 2000: Accuracy 0.71498 (best 0.71498)
09/17/2026 07:09:29 - INFO - __main__ - Training (2100 / 10000 Steps) (loss=0.5285) lr=2.79e-02 1194s
09/17/2026 07:09:54 - INFO - __main__ - Training (2200 / 10000 Steps) (loss=0.4903) lr=2.77e-02 1219s
09/17/2026 07:10:19 - INFO - __main__ - Training (2300 / 10000 Steps) (loss=0.5867) lr=2.74e-02 1245s
09/17/2026 07:10:44 - INFO - __main__ - Training (2400 / 10000 Steps) (loss=1.0063) lr=2.71e-02 1269s
