/opt/anaconda3/envs/fal-wyh/lib/python3.9/site-packages/torchvision/transforms/transforms.py:329: UserWarning: Argument 'interpolation' of type int is deprecated since 0.13 and will be removed in 0.15. Please use InterpolationMode enum.
  warnings.warn(
09/17/2026 03:55:39 - INFO - models.modeling - load_pretrained: resized variant: torch.Size([1, 197, 768]) to torch.Size([1, 3137, 768])
09/17/2026 03:55:43 - INFO - timm.models._builder - Loading pretrained weights from Hugging Face hub (timm/vit_base_patch16_dinov3.lvd1689m)
09/17/2026 03:55:43 - INFO - httpx - HTTP Request: HEAD https://hf-mirror.com/timm/vit_base_patch16_dinov3.lvd1689m/resolve/main/model.safetensors "HTTP/1.1 302 Found"
09/17/2026 03:55:43 - INFO - timm.models._hub - [timm/vit_base_patch16_dinov3.lvd1689m] Safe alternative available for 'pytorch_model.bin' (as 'model.safetensors'). Loading weights using safetensors.
09/17/2026 03:55:44 - INFO - __main__ - Training parameters Namespace(data_root='/home/savo_shen/data_crops/nabirds/raw', name='nabirds_tok25_896', output_dir='output', pretrained='/home/savo_shen/Programs/FAL-ViT-main-wyh/imagenet21k_ViT-B_16.npz', img_size=896, select='dinov3', keep=0.25, sel_img=448, train_batch_size=8, grad_accum=2, eval_batch_size=32, learning_rate=0.03, weight_decay=0.0, num_steps=10000, warmup_steps=500, eval_every=1000, max_grad_norm=1.0, num_workers=8, seed=42)
09/17/2026 03:55:44 - INFO - __main__ - classes=555 train=23929 test=24633  tokens kept 784 / 3136
load_pretrained: grid-size from 14 to 56
09/17/2026 03:56:42 - INFO - __main__ - Training (100 / 10000 Steps) (loss=6.2798) lr=6.00e-03 57s
09/17/2026 03:57:36 - INFO - __main__ - Training (200 / 10000 Steps) (loss=6.1274) lr=1.20e-02 111s
09/17/2026 03:58:30 - INFO - __main__ - Training (300 / 10000 Steps) (loss=5.8188) lr=1.80e-02 166s
09/17/2026 03:59:24 - INFO - __main__ - Training (400 / 10000 Steps) (loss=4.5898) lr=2.40e-02 220s
09/17/2026 04:00:18 - INFO - __main__ - Training (500 / 10000 Steps) (loss=2.8844) lr=3.00e-02 274s
09/17/2026 04:01:13 - INFO - __main__ - Training (600 / 10000 Steps) (loss=2.6468) lr=3.00e-02 328s
09/17/2026 04:02:07 - INFO - __main__ - Training (700 / 10000 Steps) (loss=2.3209) lr=3.00e-02 382s
09/17/2026 04:03:01 - INFO - __main__ - Training (800 / 10000 Steps) (loss=2.4901) lr=2.99e-02 437s
09/17/2026 04:03:55 - INFO - __main__ - Training (900 / 10000 Steps) (loss=2.2529) lr=2.99e-02 491s
09/17/2026 04:04:49 - INFO - __main__ - Training (1000 / 10000 Steps) (loss=0.6533) lr=2.98e-02 545s
09/17/2026 04:13:12 - INFO - __main__ - Validation Results step 1000: Accuracy 0.64824 (best 0.64824)
09/17/2026 04:14:06 - INFO - __main__ - Training (1100 / 10000 Steps) (loss=1.5042) lr=2.97e-02 1102s
09/17/2026 04:15:01 - INFO - __main__ - Training (1200 / 10000 Steps) (loss=1.0895) lr=2.96e-02 1156s
09/17/2026 04:15:55 - INFO - __main__ - Training (1300 / 10000 Steps) (loss=1.0827) lr=2.95e-02 1210s
09/17/2026 04:16:49 - INFO - __main__ - Training (1400 / 10000 Steps) (loss=0.9846) lr=2.93e-02 1265s
09/17/2026 04:17:44 - INFO - __main__ - Training (1500 / 10000 Steps) (loss=0.8919) lr=2.92e-02 1320s
09/17/2026 04:18:38 - INFO - __main__ - Training (1600 / 10000 Steps) (loss=0.2838) lr=2.90e-02 1374s
09/17/2026 04:19:32 - INFO - __main__ - Training (1700 / 10000 Steps) (loss=0.5361) lr=2.88e-02 1428s
09/17/2026 04:20:26 - INFO - __main__ - Training (1800 / 10000 Steps) (loss=0.6952) lr=2.86e-02 1482s
09/17/2026 04:21:21 - INFO - __main__ - Training (1900 / 10000 Steps) (loss=0.8537) lr=2.84e-02 1536s
09/17/2026 04:22:15 - INFO - __main__ - Training (2000 / 10000 Steps) (loss=0.6608) lr=2.82e-02 1590s
09/17/2026 04:30:33 - INFO - __main__ - Validation Results step 2000: Accuracy 0.78427 (best 0.78427)
09/17/2026 04:31:27 - INFO - __main__ - Training (2100 / 10000 Steps) (loss=0.0841) lr=2.79e-02 2142s
09/17/2026 04:32:21 - INFO - __main__ - Training (2200 / 10000 Steps) (loss=0.2444) lr=2.77e-02 2197s
09/17/2026 04:33:15 - INFO - __main__ - Training (2300 / 10000 Steps) (loss=0.2314) lr=2.74e-02 2251s
09/17/2026 04:34:10 - INFO - __main__ - Training (2400 / 10000 Steps) (loss=0.3468) lr=2.71e-02 2305s
09/17/2026 04:35:04 - INFO - __main__ - Training (2500 / 10000 Steps) (loss=1.1236) lr=2.68e-02 2359s
09/17/2026 04:35:58 - INFO - __main__ - Training (2600 / 10000 Steps) (loss=0.6694) lr=2.65e-02 2413s
09/17/2026 04:36:52 - INFO - __main__ - Training (2700 / 10000 Steps) (loss=1.1568) lr=2.62e-02 2468s
09/17/2026 04:37:46 - INFO - __main__ - Training (2800 / 10000 Steps) (loss=0.4786) lr=2.59e-02 2522s
09/17/2026 04:38:40 - INFO - __main__ - Training (2900 / 10000 Steps) (loss=0.5776) lr=2.55e-02 2576s
09/17/2026 04:39:36 - INFO - __main__ - Training (3000 / 10000 Steps) (loss=0.1528) lr=2.52e-02 2631s
09/17/2026 04:47:55 - INFO - __main__ - Validation Results step 3000: Accuracy 0.82633 (best 0.82633)
09/17/2026 04:48:49 - INFO - __main__ - Training (3100 / 10000 Steps) (loss=0.0472) lr=2.48e-02 3185s
09/17/2026 04:49:43 - INFO - __main__ - Training (3200 / 10000 Steps) (loss=0.1293) lr=2.44e-02 3239s
09/17/2026 04:50:38 - INFO - __main__ - Training (3300 / 10000 Steps) (loss=0.3356) lr=2.40e-02 3293s
09/17/2026 04:51:32 - INFO - __main__ - Training (3400 / 10000 Steps) (loss=0.1484) lr=2.36e-02 3347s
09/17/2026 04:52:26 - INFO - __main__ - Training (3500 / 10000 Steps) (loss=0.4748) lr=2.32e-02 3402s
09/17/2026 04:53:20 - INFO - __main__ - Training (3600 / 10000 Steps) (loss=0.1341) lr=2.28e-02 3456s
09/17/2026 04:54:14 - INFO - __main__ - Training (3700 / 10000 Steps) (loss=0.3276) lr=2.24e-02 3510s
09/17/2026 04:55:09 - INFO - __main__ - Training (3800 / 10000 Steps) (loss=0.2414) lr=2.19e-02 3564s
09/17/2026 04:56:03 - INFO - __main__ - Training (3900 / 10000 Steps) (loss=0.3501) lr=2.15e-02 3619s
09/17/2026 04:56:57 - INFO - __main__ - Training (4000 / 10000 Steps) (loss=0.1518) lr=2.10e-02 3673s
09/17/2026 05:05:16 - INFO - __main__ - Validation Results step 4000: Accuracy 0.86295 (best 0.86295)
09/17/2026 05:06:10 - INFO - __main__ - Training (4100 / 10000 Steps) (loss=0.2521) lr=2.06e-02 4226s
09/17/2026 05:07:04 - INFO - __main__ - Training (4200 / 10000 Steps) (loss=0.1667) lr=2.01e-02 4280s
09/17/2026 05:07:59 - INFO - __main__ - Training (4300 / 10000 Steps) (loss=0.0826) lr=1.96e-02 4334s
09/17/2026 05:08:53 - INFO - __main__ - Training (4400 / 10000 Steps) (loss=0.6362) lr=1.92e-02 4388s
09/17/2026 05:09:48 - INFO - __main__ - Training (4500 / 10000 Steps) (loss=0.4224) lr=1.87e-02 4443s
09/17/2026 05:10:42 - INFO - __main__ - Training (4600 / 10000 Steps) (loss=1.2068) lr=1.82e-02 4498s
09/17/2026 05:11:36 - INFO - __main__ - Training (4700 / 10000 Steps) (loss=0.2253) lr=1.77e-02 4552s
09/17/2026 05:12:30 - INFO - __main__ - Training (4800 / 10000 Steps) (loss=0.3517) lr=1.72e-02 4606s
09/17/2026 05:13:25 - INFO - __main__ - Training (4900 / 10000 Steps) (loss=0.0324) lr=1.67e-02 4660s
09/17/2026 05:14:19 - INFO - __main__ - Training (5000 / 10000 Steps) (loss=0.3002) lr=1.62e-02 4714s
09/17/2026 05:22:37 - INFO - __main__ - Validation Results step 5000: Accuracy 0.87310 (best 0.87310)
09/17/2026 05:23:32 - INFO - __main__ - Training (5100 / 10000 Steps) (loss=0.0769) lr=1.57e-02 5267s
09/17/2026 05:24:26 - INFO - __main__ - Training (5200 / 10000 Steps) (loss=0.1249) lr=1.52e-02 5322s
09/17/2026 05:25:20 - INFO - __main__ - Training (5300 / 10000 Steps) (loss=0.9475) lr=1.48e-02 5376s
